Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,3,1,0,0,0
2002,0,1,0,0,0
2003,2,2,0,0,0
2004,2,1,1,0,0
2005,4,0,0,0,0
2006,4,0,0,0,0
2007,5,3,0,0,0
2008,4,0,0,0,0
2009,4,2,1,0,0
2010,6,5,0,0,0
2011,9,0,2,0,0
2012,6,1,0,0,0
2013,10,1,0,0,0
2014,8,2,2,0,0
2015,9,2,0,0,0
2016,10,3,0,0,0
2017,11,3,0,0,0
2018,10,1,0,0,0
2019,7,4,0,0,0
