Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,3,1,0,0,0
2002,0,1,0,0,0
2003,4,0,0,0,0
2004,3,1,0,0,0
2005,3,1,0,0,0
2006,4,0,0,0,0
2007,4,2,2,0,0
2008,2,0,2,0,0
2009,4,2,1,0,0
2010,7,2,2,0,0
2011,8,3,0,0,0
2012,4,2,1,0,0
2013,9,2,0,0,0
2014,5,5,1,0,0
2015,8,3,0,0,0
2016,8,2,3,0,0
2017,9,4,1,0,0
2018,8,1,2,0,0
2019,6,2,3,0,0
