Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,1,2,1,0,0
2002,0,0,0,0,0
2003,1,2,1,0,0
2004,0,0,4,0,0
2005,0,4,0,0,0
2006,1,2,1,0,0
2007,3,3,1,0,0
2008,1,1,1,0,0
2009,1,5,1,0,0
2010,6,4,1,0,0
2011,6,2,3,0,0
2012,2,2,1,0,0
2013,7,4,0,0,0
2014,5,2,4,0,1
2015,5,4,2,0,0
2016,5,5,2,0,0
2017,5,7,2,0,0
2018,8,2,0,0,0
2019,4,6,1,0,0
