Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,3,0,0,0,0
2002,0,1,0,0,0
2003,3,1,0,0,0
2004,2,2,0,0,0
2005,3,0,0,0,0
2006,2,1,1,0,0
2007,4,1,3,0,0
2008,2,1,1,0,0
2009,4,2,1,0,0
2010,7,2,2,0,0
2011,9,2,0,0,0
2012,4,2,1,0,0
2013,5,3,3,0,0
2014,1,6,3,0,0
2015,5,4,2,0,0
2016,7,2,4,0,0
2017,3,6,2,0,0
2018,7,4,0,0,0
2019,7,2,1,0,0
