Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,3,1,0,0,0
2002,0,1,0,0,0
2003,3,1,0,0,0
2004,2,2,0,0,0
2005,2,2,0,0,0
2006,3,1,0,0,0
2007,4,2,2,0,0
2008,2,0,1,0,0
2009,3,4,0,0,0
2010,7,4,0,0,0
2011,9,2,0,0,0
2012,4,2,1,0,0
2013,8,3,0,0,0
2014,6,4,2,0,0
2015,8,3,0,0,0
2016,6,5,1,0,0
2017,8,6,0,0,0
2018,7,3,0,0,0
2019,7,4,0,0,0
