Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,3,0,1,0,0
2002,0,1,0,0,0
2003,4,0,0,0,0
2004,4,0,0,0,0
2005,2,2,0,0,0
2006,4,0,0,0,0
2007,4,4,0,0,0
2008,3,1,0,0,0
2009,4,2,1,0,0
2010,6,4,0,0,0
2011,10,1,0,0,0
2012,3,4,0,0,0
2013,6,3,2,0,0
2014,9,3,0,0,0
2015,8,2,1,0,0
2016,7,2,4,0,0
2017,9,4,1,0,0
2018,6,3,2,0,0
2019,8,1,1,0,0
