Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,4,0,0,0,0
2002,0,1,0,0,0
2003,4,0,0,0,0
2004,4,0,0,0,0
2005,3,1,0,0,0
2006,4,0,0,0,0
2007,5,2,1,0,0
2008,2,2,0,0,0
2009,4,3,0,0,0
2010,7,4,0,0,0
2011,11,0,0,0,0
2012,6,1,0,0,0
2013,10,1,0,0,0
2014,7,5,0,0,0
2015,11,0,0,0,0
2016,9,4,0,0,0
2017,8,5,1,0,0
2018,10,1,0,0,0
2019,8,3,0,0,0
