Class,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
1999,1,0,0,0,0
2000,0,0,0,0,0
2001,2,1,0,0,0
2002,0,0,1,0,0
2003,3,1,0,0,0
2004,1,1,2,0,0
2005,3,0,1,0,0
2006,2,2,0,0,0
2007,2,5,1,0,0
2008,2,2,0,0,0
2009,3,3,0,0,0
2010,6,2,1,0,0
2011,4,3,2,0,0
2012,1,3,2,0,0
2013,4,4,3,0,0
2014,8,2,0,0,0
2015,0,8,3,0,0
2016,4,5,3,0,0
2017,4,5,4,0,0
2018,6,4,0,0,0
2019,5,2,3,0,0
